Country,Python_Devs,Total_Number_Of_Programmer,Percentage_Of_Python_Developers
United States of America,4215,7226,58.33102684749516
Germany,1683,3022,55.6915949702184
India,1160,2542,45.633359559402045
United Kingdom of Great Britain and Northern Ireland,1024,2038,50.24533856722277
France,820,1409,58.19730305180979
Canada,686,1303,52.64773599386032
Poland,458,887,51.634723788049605
Netherlands,458,867,52.825836216839676
Italy,436,834,52.27817745803357
Australia,417,803,51.93026151930261
Brazil,407,824,49.39320388349515
Spain,398,717,55.509065550906556
Ukraine,384,964,39.83402489626556
Switzerland,324,546,59.34065934065934
Sweden,291,616,47.24025974025974
Czech Republic,259,520,49.80769230769231
Austria,222,410,54.146341463414636
Israel,173,297,58.24915824915825
Belgium,166,321,51.71339563862928
Portugal,155,280,55.35714285714286
Finland,155,254,61.023622047244096
China,152,255,59.6078431372549
Denmark,151,316,47.78481012658228
Mexico,139,285,48.771929824561404
New Zealand,136,255,53.333333333333336
Romania,135,322,41.92546583850932
Turkey,129,294,43.87755102040816
South Africa,124,253,49.01185770750988
Hungary,120,235,51.06382978723404
Greece,115,252,45.63492063492063
Colombia,113,202,55.940594059405946
Russian Federation,110,200,55.00000000000001
Norway,110,237,46.41350210970464
Argentina,108,222,48.64864864864865
Bulgaria,107,244,43.85245901639344
Ireland,104,209,49.760765550239235
Japan,101,188,53.72340425531915
Pakistan,96,239,40.1673640167364
Bangladesh,88,219,40.182648401826484
Chile,82,131,62.59541984732825
Nigeria,80,199,40.20100502512563
Kenya,78,147,53.06122448979592
Viet Nam,78,145,53.79310344827586
Slovakia,77,147,52.38095238095239
Serbia,74,158,46.835443037974684
Indonesia,73,180,40.55555555555556
Philippines,70,142,49.29577464788733
Taiwan,63,118,53.38983050847458
Thailand,59,119,49.57983193277311
"Iran, Islamic Republic of...",56,149,37.58389261744966
Sri Lanka,51,95,53.68421052631579
Singapore,51,89,57.30337078651685
Lithuania,49,101,48.51485148514851
Egypt,45,140,32.142857142857146
Croatia,44,113,38.93805309734513
Slovenia,41,78,52.56410256410257
Malaysia,41,82,50.0
Nepal,39,83,46.98795180722892
United Arab Emirates,39,89,43.82022471910113
Hong Kong (S.A.R.),37,72,51.388888888888886
Latvia,32,62,51.61290322580645
Morocco,31,55,56.36363636363636
Estonia,30,70,42.857142857142854
Uruguay,26,52,50.0
Peru,26,64,40.625
Ghana,25,46,54.347826086956516
Algeria,23,49,46.93877551020408
